instance,path,configuration,suppression_state,transform_4x4
"塞打螺栓M5-φ6-20-改1.15-6","D:\WheelLeg\塞打螺栓M5-φ6-20-改1.15.SLDPRT","默认","2","1.8728397838647572E-16;0.94984764934769583;0.31271303623075336;1;-2.0955694237848666E-16;3.7616566542944696E-17;1.012611950217568E-16;0.31271303623075336;-0.94984764934769583;0.087499999999997857;0.042499999999999073;-0.019999999999999515;1;0;0;0"
"防松螺母M5-改1.15-1","D:\WheelLeg\防松螺母M5-改1.15.SLDPRT","默认","2","-4.4995739301941028E-18;0.60621840417869333;0.79529821226697006;1.3823889130345591E-17;-0.79529821226697006;0.60621840417869333;0.99999999999999989;1.3721838839386972E-17;-4.8017929054948538E-18;0.19200000000000009;-0.14837294124166095;0.088327253757509328;1;0;0;0"
"装甲模块-改1.15-1","D:\WheelLeg\装甲模块-改1.15.SLDASM","默认","2","-7.216449660007183E-16;1;1.531385755203346E-13;-0.25881904510249337;-1.4810728055721454E-13;0.96592582628907564;0.96592582628907564;-3.8938124374457472E-14;0.25881904510249337;0.10649324990596482;-0.0018354502568894966;0.11063938264859396;1;0;0;0"
"装甲模块-改1.15-1/小装甲板-改1.15-1","D:\WheelLeg\小装甲板-改1.15.SLDPRT","默认","2","0.96592582628907575;-3.6939722930132159E-14;0.25881904510249315;-0.25881904510249315;-1.4863081468125347E-13;0.96592582628907575;2.7874531344302265E-15;-1;-1.5312704629813572E-13;0.30342322566961655;-0.045004395502070554;0.069108311133430217;1;0;0;0"
"装甲模块-改1.15-1/二版RM2019裁判系统支撑架AH02-改1.15-2","D:\WheelLeg\二版RM2019裁判系统支撑架AH02-改1.15.SLDPRT","默认","2","-7.216449660007183E-16;1;1.531385755203346E-13;-0.25881904510249337;-1.4810728055721454E-13;0.96592582628907564;0.96592582628907564;-3.8938124374457472E-14;0.25881904510249337;0.26640000000000041;0.047500000000004025;0.10350000000000056;1;0;0;0"
"装甲模块-改1.15-1/螺栓M4-8-改1.15-2","D:\WheelLeg\螺栓M4-8-改1.15.SLDPRT","M4*8","2","-0.76173630338043274;0.64788718471066642;9.9309449552720253E-14;1.9428902930940239E-16;-1.5311712359163702E-13;1;0.64788718471066642;0.76173630338043286;1.1649015085879455E-13;0.2501500000000032;-0.04750000000000975;0.19349999999998924;1;0;0;0"
"装甲模块-改1.15-1/二版RM2019裁判系统支撑架AH02-改1.15-1","D:\WheelLeg\二版RM2019裁判系统支撑架AH02-改1.15.SLDPRT","默认","2","-7.216449660007183E-16;1;1.531385755203346E-13;-0.25881904510249337;-1.4810728055721454E-13;0.96592582628907564;0.96592582628907564;-3.8938124374457472E-14;0.25881904510249337;0.26640000000000075;-0.047499999999995948;0.10349999999998608;1;0;0;0"
"装甲模块-改1.15-1/螺栓M4-8-改1.15-1","D:\WheelLeg\螺栓M4-8-改1.15.SLDPRT","M4*8","2","-0.67435218851222145;0.73840986304949718;1.1310397063368782E-13;-5.5511151231257827E-17;-1.5316697447779527E-13;1;0.73840986304949729;0.67435218851222145;1.0333400801698644E-13;0.25015000000000293;0.047499999999990258;0.1935000000000037;1;0;0;0"
"装甲模块-改1.15-1/大装甲板-改1.15-1","E:\2025赛季\串联腿v2\大装甲板-改1.15.SLDPRT [未打开]","默认","0","0.25881904510252157;-1.4706759582043161E-13;0.96592582628906798;0.96592582628906798;4.2330636838930242E-14;-0.25881904510252152;-2.8920897657870012E-15;1;1.5308859828572158E-13;0.11490087371769048;0.045004395502058273;0.26896558992789737;1;0;0;0"
"垫片 6-10-1-改1.15-2","D:\WheelLeg\垫片 6-10-1-改1.15.SLDPRT","默认","2","2.7491295548508455E-16;0.34301329054325386;-0.93933055018491207;-1.1741386769042093E-16;0.93933055018491207;0.34301329054325386;1.0000000000000002;1.5991635463071638E-17;2.9850865484066626E-16;0.074999999999999997;0.042499999999999948;-0.019999999999999987;1;0;0;0"
