rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
131,0.216232,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+3.0000,+0.5000,0.003081,0.017329,0.086025,0.054209,0.016481,0.001795,0.021250,False,True
132,0.219593,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.0000,+0.3000,0.001960,0.023052,0.085938,0.074272,0.014359,0.002371,0.001250,False,True
133,0.219918,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-1.0000,+0.5000,0.001160,0.028204,0.086696,0.028858,0.014830,0.002984,0.005000,False,True
134,0.221371,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,-0.5000,+0.0000,0.001185,0.034414,0.086665,0.059626,0.012977,0.002790,0.000000,False,True
135,0.221608,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-0.5000,+0.5000,0.003941,0.032204,0.086115,0.073767,0.013166,0.002448,0.000000,False,True
136,0.221944,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-0.5000,-0.5000,0.005050,0.022529,0.086210,0.058144,0.012552,0.002659,0.000000,False,True
137,0.223425,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,-1.5000,-0.5000,0.003282,0.017764,0.086565,0.086855,0.015247,0.002211,0.003750,False,True
138,0.226400,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.0000,-0.3000,0.005338,0.029664,0.086869,0.086103,0.014563,0.002322,0.002500,False,True
139,0.227654,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-1.0000,+1.0000,+0.0000,0.002484,0.018154,0.086712,0.113980,0.012695,0.002231,0.000000,False,True
140,0.228159,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-1.0000,-0.3000,0.003372,0.034726,0.085951,0.034968,0.014226,0.003247,0.003750,False,True
